"决定","性别","吸引力","共同爱好","幽默","真诚","雄心","智力","好感","成功率自估","日常出门频率","对宗教的看重程度","对种族的看重程度","年龄","种族","从事领域","对方决定","好感得分","对方评估成功率","吸引力得分","共同爱好得分","幽默得分","真诚得分","雄心得分","智力得分","对方年龄","对方种族","是否同一种族","日常约会频率"
1,0,6,5,7,9,6,7,7,6,1,4,2,21,4,1,0,7,4,6,6,8,8,8,8,27,2,0,7
1,0,7,6,8,8,5,7,7,5,1,4,2,21,4,1,0,8,4,7,5,7,8,7,10,22,2,0,7
1,0,5,7,8,8,5,9,7,NA,1,4,2,21,4,1,1,10,10,10,10,10,10,10,10,22,4,1,7
1,0,7,8,7,6,6,8,7,6,1,4,2,21,4,1,1,7,7,7,8,8,8,9,9,23,2,0,7
1,0,5,6,7,6,6,7,6,6,1,4,2,21,4,1,1,8,6,8,7,6,7,9,9,24,3,0,7
0,0,4,4,4,9,6,7,6,5,1,4,2,21,4,1,1,7,6,7,7,8,7,7,8,25,2,0,7
1,0,7,7,4,6,6,7,6,5,1,4,2,21,4,1,0,2,1,3,7,5,6,8,7,30,2,0,7
0,0,4,6,6,9,5,7,6,7,1,4,2,21,4,1,0,7,5,6,6,6,7,8,5,27,2,0,7
1,0,7,8,9,6,8,8,7,7,1,4,2,21,4,1,1,6.5,8,7,9,8,7,8,8,28,2,0,7
1,0,5,8,8,6,10,6,6,6,1,4,2,21,4,1,0,6,6,6,6,6,6,6,6,24,2,0,7
0,0,5,3,4,7,6,8,6,4,1,5,2,24,2,1,0,7,2,8,4,9,7,7,6,27,2,1,5
0,0,8,6,6,5,9,6,7,3,1,5,2,24,2,1,0,8,4,7,5,6,6,6,10,22,2,1,5
0,0,5,4,6,8,3,9,6,7,1,5,2,24,2,1,1,10,10,10,10,10,10,10,10,22,4,0,5
1,0,7,7,6,9,5,7,7,8,1,5,2,24,2,1,1,9,7,9,9,9,9,9,9,23,2,1,5
0,0,6,8,9,8,7,7,8,6,1,5,2,24,2,1,1,10,1,10,8,10,10,7,10,24,3,0,5
0,0,8,2,3,7,6,8,6,5,1,5,2,24,2,1,1,7,5,7,7,5,8,7,7,25,2,1,5
1,0,7,9,6,5,7,9,8,7,1,5,2,24,2,1,0,4,3,5,3,3,3,5,4,30,2,1,5
0,0,5,5,5,8,9,7,5,6,1,5,2,24,2,1,1,7,6,7,5,7,7,7,7,27,2,1,5
1,0,7,5,9,6,4,8,5,6,1,5,2,24,2,1,1,8,8,8,7,9,6,8,9,28,2,1,5
1,0,6,8,7,7,9,8,8,7,1,5,2,24,2,1,0,6,9,6,7,7,5,9,7,24,2,1,5
0,0,7,9,7,9,8,10,8,7,1,4,8,25,2,2,0,5,2,7,4,5,8,8,6,27,2,1,3
0,0,9,7,8,7,9,9,8,7,1,4,8,25,2,2,0,7,3,6,5,6,7,6,10,22,2,1,3
0,0,7,7,7,9,9,9,8,7,1,4,8,25,2,2,1,10,10,10,10,10,10,10,10,22,4,0,3
0,0,9,7,7,7,9,9,8,7,1,4,8,25,2,2,1,7,7,7,8,8,9,8,8,23,2,1,3
