sbid,tenure,expense,COUNT,perperson,entropy,chgexpense,chgcount,churn
1445479416,3639,100.39,53,6.038867925,2.36074769,0,0.104166667,0
1445479496,3627,65.38,51,9.53372549,2.228358342,0.293628809,0.342105263,0
1445480426,2283,97.62,88,7.715227273,3.004546632,0.003391921,-0.092783505,0
1445480735,2186,218.78,59,10.65440678,3.307162403,-0.043668313,-0.280487805,0
1445480785,2189,90.85,169,2.819112426,4.448859091,-0.046194226,0.173611111,0
1445480835,2191,207.7,113,9.491681416,3.382808605,-0.099228034,-0.130769231,0
1445480905,3639,145.9,59,11.90067797,3.028377947,-0.015453134,0.134615385,0
1445480923,3140,56.89,109,4.711192661,3.928060922,1.135510511,0.009259259,0
1445480975,3136,120,53,7.061698113,2.918781421,0.052631579,0.204545455,0
1445481123,2181,182,52,5.005576923,3.426557464,-0.5199789,-0.1875,0
1445481235,2185,135.8,112,6.849285714,3.647555782,0,-0.026086957,0
1445481336,3130,296,179,6.276759777,4.200990724,0,0.26056338,0
1445481547,3640,150.74,155,5.699483871,4.024123558,0.65702979,0.013071895,0
1445481597,2181,189.9,48,10.60458333,2.275103514,0.004761905,-0.213114754,0
1445481845,3638,194.49,84,7.742738095,3.291493607,-0.017727273,-0.142857143,0
1445481847,3136,239.3,130,7.879692308,3.8981867,0,-0.071428571,0
1445481953,3635,298.7,123,14.58162602,3.885451973,-0.009286899,0.016528926,0
1445482058,3639,180.47,120,6.037666667,3.949124345,-0.170748518,0.224489796,0
1445482105,3638,170.84,117,13.90478633,3.460016,-0.024774518,0.181818182,0
1445482186,2252,97.85,24,4.536666667,2.258909377,-0.045086367,-0.351351351,0
1445482236,2109,209.39,64,5.37046875,2.962286325,0.420845491,0.488372093,0
1445482293,2167,130,42,9.696904762,2.356575861,-0.043414275,-0.142857143,0
1445482323,2284,337.24,71,17.66591549,2.779291242,-0.038681908,-0.065789474,0
1445482328,3630,104.28,87,6.408965517,3.711078062,-0.032204176,0.0875,0
1445482360,3633,81.39,34,3.753235294,3.045052923,-0.009251369,0,0
1445482433,3643,223.1,71,18.14169014,2.972703974,0.024334252,0.365384615,0
1445482470,2179,111.32,51,10.43352941,2.443364199,-0.047244094,-0.271428571,0
1445482517,2152,140.92,74,3.153648649,3.77098299,0.082501152,0.057142857,0
1445482518,3559,116.27,33,10.1830303,2.05279805,0.048611111,-0.057142857,0
1445482543,3632,210.19,102,11.78235294,2.924208952,-0.001472684,0.073684211,0
1445482546,2198,136.64,50,11.0144,2.967571332,0.251396648,-0.090909091,0
1445482585,2206,326.28,114,10.79105263,3.620586161,-0.038656453,-0.269230769,0
1445482650,2227,161.9,100,6.4758,3.689095018,-0.109950522,-0.090909091,0
1445482713,2256,195.53,187,4.792941177,4.575758821,0.220308307,0.126506024,0
1445482717,2237,293.89,113,3.561061947,3.857242805,0.660114105,1.017857143,0
1445482725,3535,395.62,80,5.50325,3.615243552,0.058940043,-0.120879121,0
1445482856,3628,164,86,9.430813954,3.373531629,-0.628841715,-0.054945055,0
1445482896,2200,337.86,26,37.37307692,1.819223631,3.072565092,0.368421053,0
1445482947,3634,146.3,38,11.8431579,2.779429638,-0.009947892,-0.025641026,0
1445482988,3634,84.13,11,4.43,1.610511869,0.10319958,0.375,0
1445483025,3123,277.84,213,6.128403756,4.605931409,-0.135047631,0.028985507,0
1445483105,2207,286.3,37,30.75054054,2.388519954,-0.29425395,-0.051282051,0
1445483113,3134,134.9,16,11.615,1.797562706,0.281101614,-0.238095238,0
1445483175,2213,194,21,6.148095238,1.439046,0,-0.16,0
1445483248,2284,166.29,54,8.620185185,3.075799844,0.52266276,0.6875,0
1445483265,2164,130,18,27.805,2.011460476,0,0,0
1445483292,3631,275.21,78,8.149615385,3.201570698,-0.489614629,-0.082352941,0
1445483303,2137,426.58,137,7.086277372,3.851947685,0.003788503,0.007352941,0
1445483372,3140,98.21,83,6.530481928,3.378519523,-0.116339752,-0.265486726,0
1445483395,2264,122,17,6.224705882,2.416537932,0,-0.585365854,0
1445483405,3614,184.6,132,7.465,3.840883698,-0.012306046,-0.102040816,0
1445483417,3128,266.83,182,7.15478022,4.361427469,-0.055402152,0.166666667,0
1445483435,3632,117.15,107,4.761121495,3.324662699,-0.034690178,-0.027272727,0
1445483462,3633,272.65,113,14.89513274,3.205522626,0.04144385,-0.034188034,0
1445483478,3641,173.67,77,13.45298701,3.477199814,-0.211021261,1.02631579,0
1445483553,2275,222.65,171,9.109181287,3.768967212,0.013427401,0.11038961,0
1445483665,3625,275.15,126,7.06031746,3.628303031,-0.001306668,-0.09352518,0
1445483700,2150,218.32,72,10.68375,2.735715657,0.040461326,0.058823529,0
1445483788,2192,257.24,80,8.627875,2.974556286,-0.101501921,-0.157894737,0
1445483791,2190,459.41,20,8.7075,1.469218473,0.009692308,-0.35483871,0
1445483825,2209,427,71,8.914929578,2.985574665,0,0,0
1445483863,2259,238.5,117,8.191196581,3.601594158,0.011750732,0.02631579,0
1445483880,3641,243.14,36,6.826111111,2.403013217,-0.183518587,-0.4375,0
1445483890,3634,136,37,3.500540541,3.021682899,0,-0.159090909,0
1445483903,3625,289.38,133,3.096090226,3.957559541,-0.077379244,-0.022058824,0
1445483917,3634,199,107,8.758971963,3.72360353,-0.264162106,-0.351515152,0
1445483963,3621,129.45,120,12.31508333,3.878835919,0.016489988,0.081081081,0
1445483977,4199,221.46,31,4.840322581,2.488160341,-0.058258207,-0.340425532,0
1445484033,2767,213.2,205,5.669219512,4.191472663,0.084435402,0.096256685,0
1445484035,2781,63.34,42,6.359761905,2.78994237,0.020296392,-0.236363636,0
1445484078,2286,336,99,3.046363636,4.024116346,0,0.087912088,0
1445484086,2762,115.29,72,4.724305556,3.24361323,0.286001115,-0.191011236,0
1445484088,3634,181.98,111,9.801351351,3.833689163,-0.003122432,0.057142857,0
1445484101,3633,255.35,228,7.32745614,4.579687536,-0.139801246,-0.033898305,0
1445484135,2785,108.07,65,4.397230769,3.123773243,0,0.756756757,0
1445484136,3360,250.23,214,6.911682243,4.260444195,-0.204962826,-0.053097345,0
1445484147,3624,158.35,97,10.07649485,3.369956216,0.186497827,-0.049019608,0
1445484157,2263,95.1,88,4.353977273,3.060750348,0.006349206,-0.357664234,0
1445484183,3630,155.62,237,4.087594937,4.832884542,0.143844175,0.053333333,0
1445484202,3625,129.43,121,6.498016529,3.534611545,0.184822409,-0.008196721,0
1445484248,3638,379,94,10.87765957,3.70648002,-0.073349633,0.287671233,0
1445484303,4266,313,41,8.326097561,2.400898652,-0.004674532,-0.023809524,0
1445484320,3637,76.6,29,9.304482759,2.091484347,-0.065853659,-0.147058824,0
1445484338,3632,140.9,153,5.359673203,4.174597851,0.007868383,0.214285714,0
1445484350,2252,110.1,43,7.04,3.117335956,0.006398538,1.263157895,0
1445484432,2218,194.9,7,61.94,0.682777381,0.014047867,0.4,0
1445484457,3626,249.55,76,10.98855263,3.118693563,0.100988264,0.151515152,0
1445484458,2768,119.1,49,6.324081633,2.818986787,0.000840336,0.020833333,0
1445484490,3641,193.99,79,16.97962025,3.296465237,-0.091381733,-0.0125,0
1445484500,3637,132.2,60,5.770166667,3.236034456,0.006241437,0.395348837,0
1445484532,2255,336,139,8.571726619,3.490621239,-0.037607768,0.022058824,0
1445484537,3639,94.4,53,2.959245283,3.339127287,0.001060445,0.104166667,0
1445484552,3635,164,101,4.172376238,3.985304412,0.129943503,0.134831461,0
