sbid,tenure,expense,COUNT,perperson,entropy,chgexpense,chgcount,churn
1445479416,3608,100.39,48,6.844791667,2.931435183,-0.00337536,-0.213114754,0
1445479496,3596,50.54,38,8.485,2.075424223,-0.132211538,-0.321428571,0
1445479746,3604,29.49,85,4.537882353,3.702529049,-0.829438982,-0.273504274,0
1445480426,2252,97.29,97,7.127010309,2.773227479,0.025616698,0.25974026,0
1445480735,2155,228.77,82,11.65243902,3.096717534,0.044611872,0.037974684,0
1445480785,2158,95.25,144,2.998958333,4.507603659,-0.002095338,0.035971223,0
1445480835,2160,230.58,130,8.253076923,3.480236454,0.051676169,0.140350877,0
1445480905,3608,148.19,52,12.51307692,3.070747241,0.022,0.181818182,0
1445480923,3109,26.64,108,3.041851852,3.999693344,0.061354582,0.270588235,0
1445480975,3105,114,44,9.11,2.813936402,-0.05,0.128205128,0
1445481016,2217,134,13,3.300769231,1.867852925,0,0,0
1445481123,2150,379.15,64,7.45515625,3.526470995,-0.212090356,-0.135135135,0
1445481125,3605,60.01,10,4.601,1.982192215,-0.120732601,-0.6,1
1445481235,2154,135.8,115,6.523304348,3.735105761,0.079491256,0.055045872,0
1445481336,3099,296,142,4.462323944,4.295877206,-0.182320442,-0.02739726,0
1445481547,3609,90.97,153,4.918496732,4.055989656,-0.408286718,-0.145251397,0
1445481597,2150,189,61,6.04442623,2.822743917,-0.108826858,-0.413461538,0
1445481845,3607,198,98,6.760918367,3.265219351,0.020618557,0.306666667,0
1445481847,3105,239.3,140,8.859928571,3.66376514,0.015877059,-0.130434783,0
1445481953,3604,301.5,121,13.76958678,3.594561127,0.006745025,-0.069230769,0
1445482023,2256,205.58,3,0.526666667,0.597439112,-0.01513845,-0.4,0
1445482058,3608,217.63,98,8.332959184,3.644381889,0.119265583,-0.02,0
1445482105,3607,175.18,99,9.643838384,3.395582568,0.031441357,-0.25,0
1445482186,2221,102.47,37,4.713513514,2.820448198,0.034841446,0.088235294,0
1445482236,2078,147.37,43,6.460930233,2.821759371,0.194149583,-0.085106383,0
1445482293,2136,135.9,49,16.12816327,2.29698697,-0.035965099,-0.222222222,0
1445482323,2253,350.81,76,17.43868421,3.034329943,0.150196721,0.266666667,0
1445482328,3599,107.75,80,6.2135,3.424630782,0.130165723,0.038961039,0
1445482360,3602,82.15,34,2.830882353,2.853452504,-0.024578485,-0.028571429,0
1445482433,3612,217.8,52,12.0225,3.113443588,0.005076142,-0.071428571,0
1445482470,2148,116.84,70,8.277142857,2.933632653,0.045548098,0.228070175,0
1445482517,2121,130.18,70,4.030857143,3.598475022,0.008209418,0.206896552,0
1445482518,3528,110.88,35,10.62885714,1.577616505,0.031921824,0.060606061,0
1445482543,3601,210.5,95,12.50578947,2.532107727,-0.001896633,-0.010416667,0
1445482546,2167,109.19,55,4.893454546,3.232957157,0.139770355,0.195652174,0
1445482585,2175,339.4,156,9.89948718,4.067240648,0.078316124,0.075862069,0
1445482650,2196,181.9,110,6.486636364,4.032075185,-0.098344404,-0.225352113,0
1445482713,2225,160.23,166,5.357951807,4.188936516,-0.081671252,-0.262222222,0
1445482717,2206,177.03,56,3.885,3.403410606,-0.006286837,-0.333333333,0
1445482725,3504,373.6,91,5.969010989,3.82853097,0.257192853,0.338235294,0
1445482856,3597,441.86,91,9.867252747,3.646227812,1.486270538,0.281690141,0
1445482896,2169,82.96,19,12.8331579,1.079740117,-0.612028247,-0.208333333,0
1445482947,3603,147.77,39,8.967179487,2.9763836,0.17791949,0.114285714,0
1445483025,3092,321.22,207,5.949516908,4.551003901,0.056783787,-0.096069869,0
1445483105,2176,405.67,39,33.89461539,2.485643607,0.218118488,0.083333333,0
1445483113,3103,105.3,21,14.43761905,1.677691387,-0.001895735,-0.045454545,0
1445483175,2182,194,25,5.4988,1.321058863,0,0.041666667,0
1445483248,2253,109.21,32,4.3409375,2.795021253,-0.131944996,0.066666667,0
1445483265,2133,130,18,25.03944444,1.967087492,-0.071627508,0.058823529,0
1445483303,2106,424.97,136,7.089852941,3.593063999,0.044152334,-0.160493827,0
1445483372,3109,111.14,113,6.334513274,3.747227058,-0.135164579,0.284090909,0
1445483395,2233,122,41,7.546585366,2.946991061,-0.538490637,-0.254545455,0
1445483405,3583,186.9,147,9.298911565,4.116216101,0.000535332,0.256410256,0
1445483417,3097,282.48,156,6.814871795,4.048497694,0.26236761,0.02631579,0
1445483435,3601,121.36,110,6.649727273,3.788822682,-0.219850861,-0.017857143,0
1445483462,3602,261.8,117,12.86367521,3.240474976,0.02626421,-0.016806723,0
1445483478,3610,220.12,38,19.25763158,2.994691882,-0.305549421,-0.464788732,0
