熊粉1 	北京 朝阳区 	f 	371068 	183 	2862 	Wed Nov 24 15:54:44 +0800 2010 	职业占星师，占星专栏作者，心理学、神秘学探索者。
熊粉2 	甘肃 白银 	m 	7 	314 	2 	Fri Oct 07 16:42:39 +0800 2011 	
熊粉3 	海外 英国 	f 	686 	600 	1089 	Sun Apr 18 22:12:07 +0800 2010 	
熊粉4 	上海 杨浦区 	f 	728201 	202 	11 	Mon Aug 31 15:38:13 +0800 2009 	日常更新在微信：znxmyzn 工作联系： 助理余小姐
熊粉5 	北京 东城区 	f 	508 	336 	536 	Mon Mar 22 22:54:18 +0800 2010 	愤青 宝妈 白领 普通青年 伪小资
熊粉6 	上海 	m 	577 	499 	698 	Thu May 06 00:42:56 +0800 2010 	
熊粉7 	其他 	f 	147 	2000 	1272 	Thu Nov 01 21:24:44 +0800 2012 	
熊粉8 	浙江 杭州 	m 	2189 	15 	48 	Mon Feb 06 11:02:23 +0800 2012 	淘宝商城 tmall 天猫 数据挖掘 数据分析
熊粉9 	上海 	m 	272 	307 	2403 	Thu May 05 16:30:54 +0800 2011 	极目楚天舒
熊粉10 	海外 其他 	f 	17887 	2 	705 	Sun Dec 12 16:29:40 +0800 2010 	一个飘在江湖的带刀女人。
熊粉11 	其他 	m 	1203 	1344 	709 	Sun Apr 18 14:39:01 +0800 2010 	
熊粉12 	北京 海淀区 	f 	480 	289 	2779 	Mon Jan 10 15:53:43 +0800 2011 	座右铭：永远的真诚！ 最爱巧克力和奶酪
熊粉13 	北京 	f 	2889 	529 	1293 	Sat Mar 05 15:26:20 +0800 2011 	 
熊粉14 	北京 海淀区 	f 	700238 	154 	5001 	Wed Mar 02 16:33:53 +0800 2011 	清华园的网络茶楼，每天抛出几个话题，供来客茶余饭后品评
熊粉15 	北京 海淀区 	m 	747165 	1312 	18463 	Mon Aug 23 16:26:13 +0800 2010 	不做公知，做学问。微博言论欢迎媒体转发，不必征求本博主同意
熊粉16 	北京 东城区 	m 	807 	797 	3620 	Sat Apr 24 21:25:20 +0800 2010 	
熊粉17 	北京 海淀区 	m 	1912 	50 	57 	Wed Feb 22 11:30:46 +0800 2012 	中国人民大学统计学院数据挖掘中心 学术讨论交流之用
熊粉18 	广东 深圳 	f 	121 	113 	1760 	Mon Nov 29 09:34:29 +0800 2010 	行到水穷处，坐看云起时
熊粉19 	北京 	f 	740 	230 	276 	Fri Apr 29 16:16:50 +0800 2011 	人琴俱老，技精为艺，艺化为道，方成大家
熊粉20 	上海 杨浦区 	f 	42407 	1993 	3146 	Thu Feb 25 14:45:33 +0800 2010 	团结·服务·牺牲 校友刊物《复旦人》
熊粉21 	北京 	m 	4454 	665 	6135 	Wed Jan 13 11:32:50 +0800 2010 	科学松鼠会（songshuhui.net）后勤一枚。
熊粉22 	北京 海淀区 	f 	42 	77 	1 	Wed Aug 31 13:13:44 +0800 2011 	北京大学光华管理学院金融系教师
熊粉23 	北京 东城区 	m 	51689192 	556 	13786 	Fri Aug 28 16:35:46 +0800 2009 	创新工场CEO
熊粉24 	上海 普陀区 	m 	450 	509 	767 	Mon Nov 22 15:07:04 +0800 2010 	
熊粉25 	北京 朝阳区 	f 	593 	229 	1823 	Thu Dec 16 00:36:12 +0800 2010 	
熊粉26 	北京 海淀区 	f 	899 	854 	1534 	Tue Mar 22 14:07:44 +0800 2011 	a big big girl with a big big heart
熊粉27 	海外 美国 	f 	301 	207 	1921 	Tue Jul 13 23:06:22 +0800 2010 	
熊粉28 	北京 	f 	276 	170 	987 	Fri Mar 18 18:44:20 +0800 2011 	
熊粉29 	北京 朝阳区 	m 	5503 	1687 	4624 	Thu Oct 29 17:52:03 +0800 2009 	北京东方道德研究所 所长 中国青少年研究会副秘书长 北京青年研究会常务理事
