"人气排序","小说名称","作者","小说类型","总点击数","会员周点击数","总字数","评论数","评分","小说性质","写作进程","授权状态","更新时间","内容简介"
1,"一念永恒","耳根","仙侠小说",4383898,10691,1155534,435429,9.8,"公众作品","连载中","Ａ级签约","2016/10/23 11:50","　　一念成沧海，一念化桑田。一念斩千魔，一念诛万仙。???     唯我念……永恒???     这是耳根继《仙逆》《求魔》《我欲封天》后，创作的第四部长篇小说《一念永恒》"
2,"斗战狂潮","骷髅精灵","仙侠小说",1678379,36587,422116,23159,10,"公众作品","连载中","Ａ级签约","2016/10/22 17:05","　　双月当空，无限可能的英魂世界 
???     孤寂黑暗，神秘古怪的嬉命小丑 
???     百城联邦，三大帝国，异族横行，魂兽霸幽 
???     这是一个英雄辈出的年代，人类卧薪尝胆重掌地球主权，孕育着进军高纬度的野望！ 
???     重点是……二年级的废柴学长王同学，如何使用嬉命轮盘，撬动整个世界，学妹们，请注意，学长来了！！！ 
???     斗战一群：21222419（两千人战力群）
???     斗战二群：12962047 
???     骷髅的微信公共号：kuloujingling00 
???     新浪微博：骷髅精灵"
3,"天影","萧鼎","仙侠小说",1248708,32019,373763,25253,9.8,"公众作品","连载中","Ａ级签约","2016/10/23 10:40","　　阴阳分天地，五行定乾坤。
???     天穹之下岁月沧桑的中土神州，正是仙道昌盛的时代，亿万生灵欣欣向荣。
???     纵横千万里间，总有人间一幕幕悲欢离合，在恢弘长生的仙道中上演着。
???     有光便有暗，天穹之下光辉之中，仍有沉默的影子悄然前行着……
???     新书上线！精彩万分！请各位书友多多投票支持！另外，大家可以添加微信公众号zhuxianxiaoding（诛仙萧鼎），QQ官方群 176378308 进行交流。"
4,"不朽凡人","鹅是老五","仙侠小说",2457382,9610,995669,146715,9.9,"公众作品","连载中","Ａ级签约","2016/10/22 20:50","　　在这里，拥有灵根才能修仙，所有凡根注定只是凡人。
???     莫无忌，只有凡根，一介凡人！
???     是就此老去，还是不甘？???"
5,"玄界之门","忘语","仙侠小说",3736897,6709,1784999,238113,9.8,"公众作品","新书上传","Ａ级签约","2016/10/23 10:15","　　天降神物！异血附体！???     群仙惊惧！万魔退避！???     一名从东洲大陆走出的少年。???     一具生死相依的红粉骷髅。???     一个立志成为至强者的故事。???     一段叱咤星河，大闹三界的传说。???     忘语新书，已完本《凡人修仙传》》《魔天记》。"
6,"龙王传说","唐家三少","玄幻小说",2968846,3080,1552654,293934,9.8,"公众作品","新书上传","Ａ级签约","2016/10/23 7:00","　　伴随着魂导科技的进步，斗罗大陆上的人类征服了海洋，又发现了两片大陆。魂兽也随着人类魂师的猎杀无度走向灭亡，沉睡无数年的魂兽之王在星斗大森林最后的净土苏醒，它要带领仅存的族人，向人类复仇！
???     唐舞麟立志要成为一名强大的魂师，可当武魂觉醒时，苏醒的，却是……
???     旷世之才，龙王之争，我们的龙王传说，将由此开始。
???"
7,"美食供应商","会做菜的猫","都市小说",1033427,10372,424742,63007,9.5,"公众作品","连载中","Ａ级签约","2016/10/22 22:09","　　“在遥远的东方，存在着一个数次拒绝了米其林三星评价的奇怪小店。 
???     那里价格昂贵，一碗配汤蛋炒饭288RMB，哦忘了还有一碟泡菜，但就算是这样也有很多人排队等候。
???     那里不接受预定，只接受本人现场排队，无数人开着专机专程排队，当然并不提供停机位或停车位。 
???     那里服务恶劣，竟然让顾客自己端菜收拾碗筷，对了还要擦桌子，哦！上帝这老板简直疯了。” 
???     ——《米其林美食杂志》???     微信公众号：ylbxd24，名字：会做菜的猫，搜名字或者公众号就可以关注最新动态。"
8,"武道宗师","爱潜水的乌贼","玄幻小说",157094,18237,153131,6228,10,"VIP作品","连载中","Ａ级","2016/10/23 12:25","　　第一，不要笑书名。
???     第二，不要笑封面。
???     第三，不要笑简介。
???     如果大家上面三句话会心笑了，说明本书风格应该挺适合你们的。
???     在这里，武道不再是虚无缥缈的传说，而是切切实实的传承，经过与科技的对抗后，彻底融入了社会，有了各种各样的武道比赛，文无第一，武无第二！
???     楼成得到武道一大流派断绝的传承后，向着最初的梦想，向着心里的荣耀，一步一步前进，都市之中仍有豪侠，当今时代依存英雄！"
9,"斩仙","任怨","仙侠小说",8665859,278,5433738,30701,9.5,"公众作品","新书上传","Ａ级签约","2015/10/30 22:05","　　前世，杨晨与人为善，却被欺压一生。
???     重生，杨晨选择成为刽子手，鬼头刀下了断恩怨，斩仙台上斩尽苍生。
???     人界斩人！
???     妖界斩妖！
???     魔界斩魔！
???     仙界斩仙！
???"
10,"星战风暴","骷髅精灵","科幻小说",25181363,676,3933207,352682,9.7,"公众作品","新书上传","Ａ级签约","2016/8/2 17:03","　　军校考试临近，二十八的基因数被直接取消了考试资格。
???     替朋友送个情书，结果却掉到了湖中，殉情之名不胫而走。
???     王铮同学第一次收到礼物，却像是进入了炼狱……
???     然而，当一切结束，王同学开始了幸福的大学生活！
???     热血永恒，这是风暴进行曲，这是最凶猛最热血的机甲狂潮！
???"
