Date,Package,Title,,
2020/5/8,apyramid,Visualize Population Pyramids Aggregated by Age,,
2020/5/8,autothresholdr,An R Port of the 'ImageJ' Plugin 'Auto Threshold',,
2020/5/8,bigrquery,An Interface to Google's 'BigQuery' 'API',,
2020/5/8,BNSP,Bayesian Non- And Semi-Parametric Model Fitting,,
2020/5/8,cem,Coarsened Exact Matching,,
2020/5/8,ClimMobTools,API Client for the 'ClimMob' Platform,,
2020/5/8,CLVTools,Tools for Customer Lifetime Value Estimation,,
2020/5/8,colocr,"Conduct Co-Localization Analysis of Fluorescence Microscopy
Images",,
2020/5/8,cometr,'Comet' API for R,,
2020/5/8,copCAR,Fitting the copCAR Regression Model for Discrete Areal Data,,
2020/5/8,cRegulome,"Obtain and Visualize Regulome-Gene Expression Correlations in
Cancer",,
2020/5/8,daewr,Design and Analysis of Experiments with R,,
2020/5/8,detrendr,Detrend Images,,
2020/5/8,disk.frame,Larger-than-RAM Disk-Based Data Manipulation Framework,,
2020/5/8,DTSg,"A Class for Working with Time Series Based on 'data.table' and
'R6' with Largely Optional Reference Semantics",,
2020/5/8,EpiModel,Mathematical Modeling of Infectious Disease Dynamics,,
2020/5/8,googlesheets4,Access Google Sheets using the Sheets API V4,,
2020/5/8,iCellR,Analyzing High-Throughput Single Cell Sequencing Data,,
2020/5/8,listcomp,List Comprehensions,,
2020/5/8,LLM,Logit Leaf Model Classifier for Binary Classification,,
2020/5/8,MCMCpack,Markov Chain Monte Carlo (MCMC) Package,,
2020/5/8,MUACz,"Generate MUAC and BMI z-Scores and Percentiles for Children and
Adolescents",,
2020/5/8,nandb,Number and Brightness Image Analysis,,
2020/5/8,NetworkDistance,Distance Measures for Networks,,
2020/5/8,packager,"Create, Build and Maintain Packages",,
2020/5/8,packageRank,"Computation and Visualization of Package Download Counts and
Percentiles",,
2020/5/8,patchDVI,Package to Patch '.dvi' or '.synctex' Files,,
2020/5/8,pearson7,"Maximum Likelihood Inference for the Pearson VII Distribution
with Shape Parameter 3/2",,
2020/5/8,pksensi,"Global Sensitivity Analysis in Physiologically Based Kinetic
Modeling",,
2020/5/8,plothelper,"New Plots Based on 'ggplot2' and Functions to Create Regular
Shapes",,
2020/5/8,ps,"List, Query, Manipulate System Processes",,
2020/5/8,rasciidoc,Create Reports Using R and 'asciidoc',,
2020/5/8,RegSDC,"Information Preserving Regression-Based Tools for Statistical
Disclosure Control",,
2020/5/8,RRRR,Online Robust Reduced-Rank Regression Estimation,,
2020/5/8,seminr,"Domain-Specific Language for Building PLS Structural Equation
Models",,
2020/5/8,sklarsomega,Measuring Agreement Using Sklar's Omega Coefficient,,
2020/5/8,SystemicR,Monitoring Systemic Risk,,
2020/5/8,tgcd,Thermoluminescence Glow Curve Deconvolution,,
2020/5/8,TileManager,Tile Manager,,
2020/5/8,tufte,Tufte's Styles for R Markdown Documents,,
