Character,Power_Level,Saga_or_Movie,Dragon_Ball_Series
Goku,10,Emperor Pilaf Saga,Dragon Ball
Bulma,1.5,Emperor Pilaf Saga,Dragon Ball
Bear Thief,7,Emperor Pilaf Saga,Dragon Ball
Master Roshi,30,Emperor Pilaf Saga,Dragon Ball
Oolong,5,Emperor Pilaf Saga,Dragon Ball
Yamcha,8.5,Emperor Pilaf Saga,Dragon Ball
Puar,4,Emperor Pilaf Saga,Dragon Ball
Goku (hungry),8,Emperor Pilaf Saga,Dragon Ball
Ox-King,25,Emperor Pilaf Saga,Dragon Ball
Chi-chi,6,Emperor Pilaf Saga,Dragon Ball
Master Roshi (Max power),100,Emperor Pilaf Saga,Dragon Ball
Master Roshi's Max Power Kamehameha,180,Emperor Pilaf Saga,Dragon Ball
Goku's Kamehameha,12,Emperor Pilaf Saga,Dragon Ball
Great Ape Goku,100,Emperor Pilaf Saga,Dragon Ball
Goku,28,Tournament Saga,Dragon Ball
Master Roshi,40,Tournament Saga,Dragon Ball
Krillin,9,Tournament Saga,Dragon Ball
Launch (bad),7,Tournament Saga,Dragon Ball
Launch (good),4,Tournament Saga,Dragon Ball
Goku (Master Roshi's training),37,Tournament Saga,Dragon Ball
Krillin (Master Roshi's training),24,Tournament Saga,Dragon Ball
Jackie Chun,50,Tournament Saga,Dragon Ball
Yamcha,21,Tournament Saga,Dragon Ball
Bacterian,8,Tournament Saga,Dragon Ball
Nam,20,Tournament Saga,Dragon Ball
Ranfan,14,Tournament Saga,Dragon Ball
Giran,33,Tournament Saga,Dragon Ball
Goku (tail regrown),57,Tournament Saga,Dragon Ball
Great Aper Goku,570,Tournament Saga,Dragon Ball
Jackie Chun (Max power),250,Tournament Saga,Dragon Ball
Jackie Chun's Max power Kamehamha,330,Tournament Saga,Dragon Ball
Goku (weakened),24,Tournament Saga,Dragon Ball
Jackie Chun (weakened),45,Tournament Saga,Dragon Ball
Goku,66,Red Ribbon Army Saga,Dragon Ball
Colonel Silver,20,Red Ribbon Army Saga,Dragon Ball
Commander Red,5,Red Ribbon Army Saga,Dragon Ball
Major Metarillitron,55,Red Ribbon Army Saga,Dragon Ball
Goku's Kamehameha,90,Red Ribbon Army Saga,Dragon Ball
Ninja Murasaki,40,Red Ribbon Army Saga,Dragon Ball
Android 8,67,Red Ribbon Army Saga,Dragon Ball
Buyon,58,Red Ribbon Army Saga,Dragon Ball
General White,50,Red Ribbon Army Saga,Dragon Ball
General Blue,72,Red Ribbon Army Saga,Dragon Ball
Krillin,42,Red Ribbon Army Saga,Dragon Ball
Arale,35,Red Ribbon Army Saga,Dragon Ball
Captain Yellow,18,Red Ribbon Army Saga,Dragon Ball
Bora,34,Red Ribbon Army Saga,Dragon Ball
Mercenary Tao,110,Red Ribbon Army Saga,Dragon Ball
Goku's Kamehameha,90,Red Ribbon Army Saga,Dragon Ball
Mercenary Tao's Dodon Ray,115,Red Ribbon Army Saga,Dragon Ball
Korin,190,Red Ribbon Army Saga,Dragon Ball
Goku (Korin's training),95,Red Ribbon Army Saga,Dragon Ball
Yamcha,45,Red Ribbon Army Saga,Dragon Ball
Officer Black,30,Red Ribbon Army Saga,Dragon Ball
Goku,95,Fortune Teller Baba Saga,Dragon Ball
